State,Migration from pak,Migration from afgha,Open Defecation,Malnutrtion(per 1000),Vaccine coverage(in lacs),Infant population(birth rate),Population under 15,Polio,Polio_Class
A& N Islands,,,43.3777,141.279,0.06038,16.8,29.4751,1242,2
Andhra Pradesh,,,63.7777,36.3625,16.82,20.7,30.8751,121,1
Arunachal Pradesh,,,45.9277,27.1391,0.10765,20.2,38.4751,24,1
Assam,,,40.3277,36.357,3.60661,26.6,36.7751,2,1
Bihar,,,83.9277,55.0735,9.89012,30.9,42.2251,14,1
Chandigarh,,,21.8277,37.5318,0.14963,14.6,31.3751,37,1
Chhattisgarh,,,85.6777,52.2961,5.00442,25,36.4751,41,1
Dadra & Nagar Haveli,,,61.4277,47.6575,0.07711,30.4,34.5751,12,1
Daman & Diu,,,44.0277,43.5508,0.02797,22.4,26.7751,0,0
Delhi,,,21.3277,30.3987,2.1834,17.2,32.7251,6,1
Goa,,,35.9277,26.5163,0.25274,14,28.4251,48,1
Gujarat,,,54.1277,44.9504,12.22682,24.7,32.8251,4,1
Haryana,,,48.5277,36.438,5.39155,26.6,35.1751,0,0
Himachal Pradesh,,,53.8277,41.5487,1.33679,20.7,30.6751,21,1
J&K,,,52.9277,31.8489,3.02151,19.2,33.2251,0,0
Jharkhand,,,84.2277,55.2709,6.75988,26.4,39.1751,24,1
Karnataka,,,60.7277,35.2942,10.69586,22.1,31.3251,0,0
Kerala,,,15.4777,26.1507,5.5953,16.9,30.0751,1,1
Lakshdweep,,,11.5777,27.7624,0.01163,19.3,31.5251,1,1
Madhya Pradesh,,,78.6777,57.081,18.71984,30.4,37.8751,0,0
Maharashtra,,,60.9777,45.6008,12.4357,20.3,32.1751,1,1
Manipur,,,19.4277,25.8007,0.32718,16.8,29.8751,0,0
Meghalaya,,,48.0277,41.802,0.34889,25.8,44.1751,0,0
Mizoram,,,14.6277,25.4079,0.62552,16.9,37.0251,0,0
Nagaland,,,31.5277,24.7361,0.18227,N.A.,33.0751,0,0
Orissa,,,86.6277,46.5415,8.35999,23.2,32.9751,0,0
Puducherry,,,45.9277,28.792,1.47569,17.9,26.3001,0,0
Punjab,,,37.0277,27.7585,5.17023,20.8,31.0251,0,0
Rajasthan,,.,73.0777,47.384,16.9322,30.6,38.8251,0,0
Sikkim,,,29.7777,22.046,0.08966,21.9,26.7751,0,0
Tamil Nadu,,,63.3277,34.696,11.78169,18.5,27.7251,0,0
Tripura,,,21.3777,43.8573,0.61476,14.9,30.8751,0,0
Uttar Pradesh,,,71.3777,48.9009,55.6,31.6,39.9251,0,0
Uttrakhand,,,49.5777,44.8322,2.29518,17,34.6751,0,0
West Bengal,,,53.8277,45.8037,15.34563,20.5,31.9251,0,0
,,,,,,,,,
,,,,,,,,,
Links,,,,,,,,,
